Will i want?;Хочу ли я?
We don't write.;Мы не пишем.
We write.;Мы пишем.
Did we write?;Мы писали?
We didn't write.;Мы не писали.
We wrote.;Мы написали.
Will they write?;Будут ли они писать?
They will not write.;Они не будут писать.
They will write.;Они напишут.
Do they write?;Они пишут?
They don't write.;Они не пишут.
They write.;Они пишут.
Did they write?;Они написали?
They didn't write.;Они не писали.
They wrote.;Они написали.
Will he write?;Он напишет?
He will not write.;Он не будет писать.
He will write.;Он напишет.
Does he write?;Он пишет?
He doesn't write.;Он не пишет.
He writes.;Он написал.
Did he write?;Он написал?
He didn't write.;Он не писал.
He wrote.;Он написал.
Will she write?;Она напишет?
She will not write.;Она не напишет.
She will write.;Она напишет
Does she write?;Она пишет?
She doesn't write.;Она не пишет.
She writes.;Она пишет.
Did she write?;Она написала?
She didn't write.;Она не писала.
She wrote.;Она написала.
Will i sit?;Я буду сидеть?
I will not sit.;Я не буду сидеть.
I will sit.;Я буду сидеть
Do i sit?;Я сижу?
I don't sit.;Я не сижу
I sit.;Это.
Did i sit?;Я сидел?
I didn't sit.;Я не сидел
I sat.;Я сидел.
Will you sit?;Ты будешь сидеть?
You will not sit.;Вы не будете сидеть.
You will sit.;Вы будете сидеть.
Do you sit?;Ты сидишь?
You don't sit.;Вы не сидите.
You sit.;Вы сидите.
Did you sit?;Ты сидел?
You didn't sit.;Вы не сидели.
You sat.;Вы сидели.
Will we sit?;Будем ли мы сидеть?
We will not sit.;Мы не будем сидеть.
We will sit.;Мы будем сидеть.
Do we sit?;Мы сидим?
We don't sit.;Мы не сидим.
We sit.;Мы сидим.
Did we sit?;Мы сидели?
We didn't sit.;Мы не сидели.
We sat.;Мы сидели.
Will they sit?;Будут ли они сидеть?
They will not sit.;Они не будут сидеть.
They will sit.;Они будут сидеть.
Do they sit?;Они сидят?
They don't sit.;Они не сидят.
They sit.;Они сидят.
Did they sit?;Они сидели?
They didn't sit.;Они не сидели.
They sat.;Они сели.
Will he sit?;Будет ли он сидеть?
He will not sit.;Он не будет сидеть.
He will sit.;Он будет сидеть.
Does he sit?;Он сидит?
He doesn't sit.;Он не сидит.
He sites.;Он сайты.
Did he sit?;Он сидел?
He didn't sit.;Он не сидел.
He sat.;Он сидел.
Will she sit?;Будет ли она сидеть?
She will not sit.;Она не будет сидеть.
She will sit.;Она будет сидеть
Does she sit?;Она сидит?
She doesn't sit.;Она не сидит
She sites.;Она сайты.
Did she sit?;Она сидела?
She didn't sit.;Она не сидела.
She sat.;Она Суббота.
Will i stand?;Буду ли я стоять?
I will not stand.;Я не буду стоять.
I will stand.;Я буду стоять
Do i stand?;Стою ли я?
I don't stand.;Я не стою
I stand.;Я стою.
Did i stand?;Я стоял?
I didn't stand.;Я не выдержал.
I stood.;Я стоял.
Will you stand?;Ты будешь стоять?
You will not stand.;Вы не будете стоять.
You will stand.;Ты будешь стоять.
Do you stand?;Вы стоите?
You don't stand.;Вы не стоите.
You stand.;Вы стоите.
Did you stand?;Вы стояли?
You didn't stand.;Ты не выдержал.
You stood.;Вы стояли
Will we stand?;Мы будем стоять?
We will not stand.;Мы не будем стоять.
We will stand.;Мы будем стоять.
Do we stand?;Стоим ли мы?
We don't stand.;Мы не стоим.
We stand.;Мы встали.
Did we stand?;Мы стояли?
We didn't stand.;Мы не стояли.
We stood.;Мы стояли
Will they stand?;Будут ли они стоять?
They will not stand.;Они не будут стоять.
They will stand.;Они будут стоять.
Do they stand?;Они стоят?
They don't stand.;Они не стоят.
They stand.;Они стоят.
Did they stand?;Они стояли?
They didn't stand.;Они не стояли.
They stood.;Они стояли.
Will he stand?;Выдержит ли он?
He will not stand.;Он не будет стоять.
He will stand.;Он будет стоять.
Does he stand?;Он стоит?
He doesn't stand.;Он не выдерживает.
He standes.;Он общается.
Did he stand?;Он стоял?
He didn't stand.;Он не стоял.
He stood.;Он стоял.
Will she stand?;Выдержит ли она?
She will not stand.;Она не будет стоять.
She will stand.;Она будет стоять
Does she stand?;Она стоит?
She doesn't stand.;Она не выдерживает.
She standes.;Она стандартная
Did she stand?;Она стояла?
She didn't stand.;Она не выдержала.
She stood.;Она стояла.
Will i lose?;Я проиграю?
I will not lose.;Я не проиграю.
I will lose.;Я буду терять.
Do i lose?;Я проиграл?
I don't lose.;Я не проигрываю.
I lose.;Я проиграл.
Did i lose?;Я проиграл?
I didn't lose.;Я не проиграл.
I lost.;Я растерян.
Will you lose?;Вы проиграете?
You will not lose.;Вы не потеряете.
You will lose.;Ты проиграешь.
Do you lose?;Ты проиграл?
You don't lose.;Ты не проиграл.
You lose.;Ты проиграл.
Did you lose?;Вы проиграли?
You didn't lose.;Вы не проиграли.
You lost.;Ты проиграла.
Will we lose?;Мы проиграем?
We will not lose.;Мы не проиграем.
We will lose.;Мы проиграем.
Do we lose?;Мы проигрываем?
We don't lose.;Мы не проигрываем.
We lose.;Мы теряем.
Did we lose?;Мы проиграли?
We didn't lose.;Мы не проиграли.
We lost.;Мы потерялись.
Will they lose?;Будут ли они проиграть?
They will not lose.;Они не проиграют.
They will lose.;Они проиграют.
Do they lose?;Они проигрывают?
They don't lose.;Они не проигрывают.
They lose.;Они проиграли.
Did they lose?;Они проиграли?
They didn't lose.;Они не проиграли.
They lost.;Они потеряли.
Will he lose?;Он проиграет?
He will not lose.;Он не проиграет.
He will lose.;Он проиграет.
Does he lose?;Он проигрывает?
He doesn't lose.;Он не проигрывает.
He loses.;Он теряет.
Did he lose?;Он проиграл?
He didn't lose.;Он не проиграл.
He lost.;Он потерял.
Will she lose?;Она проиграет?
She will not lose.;Она не проиграет.
She will lose.;Она проиграет
Does she lose?;Она проигрывает?
She doesn't lose.;Она не проигрывает.
She loses.;Она проигрывает.
Did she lose?;Она проиграла?
She didn't lose.;Она не проиграла.
She lost.;Она потеряла.
Will i pay?;Буду ли я платить?
I will not pay.;Я не буду платить.
I will pay.;Я заплачу.
Do i pay?;Я плачу?
I don't pay.;Я не плачу.
I pay.;Я плачу.
Did i pay?;Я заплатил?
I didn't pay.;Я не заплатил.
I paid.;Я заплатила.
Will you pay?;Вы заплатите?
You will not pay.;Вы не будете платить.
You will pay.;Вы заплатите.
Do you pay?;Ты платишь?
You don't pay.;Вы не платите.
You pay.;Ты платишь.
Did you pay?;Ты заплатил?
You didn't pay.;Вы не заплатили.
You paid.;Вы заплатили.
Will we pay?;Будем ли мы платить?
We will not pay.;Мы не будем платить.
We will pay.;Мы заплатим.
Do we pay?;Мы платим?
We don't pay.;Мы не платим.
We pay.;Мы платим.
Did we pay?;Мы заплатили?
We didn't pay.;Мы не платили.
We paid.;Мы платили.
Will they pay?;Будут ли они платить?
They will not pay.;Они не будут платить.
They will pay.;Они заплатят.
Do they pay?;Они платят?
They don't pay.;Они не платят.
They pay.;Они платят.
Did they pay?;Они заплатили?
They didn't pay.;Они не платили.
They paid.;Они заплатили.
Will he pay?;Он заплатит?
He will not pay.;Он не будет платить.
He will pay.;Он заплатит.
Does he pay?;Он платит?
He doesn't pay.;Он не платит.
He paes.;Он бледнеет
Did he pay?;Он заплатил?
He didn't pay.;Он не заплатил.
He paid.;Он заплатил.
Will she pay?;Она заплатит?
She will not pay.;Она не будет платить.
She will pay.;Она заплатит.
Does she pay?;Она платит?
She doesn't pay.;Она не платит.
She paes.;Она бледнеть
Did she pay?;Она заплатила?
She didn't pay.;Она не заплатила.
She paid.;Она заплатила.
Will i meet?;Я встречу?
I will not meet.;Я не буду встречаться.
I will meet.;Я встречу.
Do i meet?;Я встречаюсь?
I don't meet.;Я не встречаюсь
I meet.;Я встречаюсь
Did i meet?;Я встречался?
I didn't meet.;Я не встречал
I met.;Я встретил.
Will you meet?;Ты встретишься?
You will not meet.;Ты не встретишься.
You will meet.;Вы встретитесь.
Do you meet?;Вы встречаетесь?
You don't meet.;Вы не встречаетесь.
You meet.;Вы встречаете.
Did you meet?;Ты встречал?
You didn't meet.;Вы не встречались.
You met.;Вы встречались.
Will we meet?;Мы встретимся?
We will not meet.;Мы не встретимся.
We will meet.;Мы встретимся.
Do we meet?;Мы встречаемся?
We don't meet.;Мы не встречаемся.
We meet.;Мы встретились.
Did we meet?;Мы встречались?
We didn't meet.;Мы не встречались.
We met.;Мы встретились.
Will they meet?;Они встретятся?
They will not meet.;Они не встретятся.
They will meet.;Они встретятся.
Do they meet?;Они встречаются?
They don't meet.;Они не встречаются.
They meet.;Они встречают.
Did they meet?;Они встречались?
They didn't meet.;Они не встречались.
They met.;Они встретились.
Will he meet?;Встретится ли он?
He will not meet.;Он не встретится.
He will meet.;Он встретится
Does he meet?;Он встречается?
He doesn't meet.;Он не встречается.
He meetes.;Он встречается.
Did he meet?;Он встречался?
He didn't meet.;Он не встречался.
He met.;Он встретил.
Will she meet?;Она встретится?
She will not meet.;Она не встретится.
She will meet.;Она встретится
Does she meet?;Она встречается?
She doesn't meet.;Она не встречается.
She meetes.;Она встречается.
Did she meet?;Она встречалась?
She didn't meet.;Она не встречалась.
She met.;Она встретила.
Will i set?;Я установлю?
I will not set.;Я не буду устанавливать.
I will set.;Я установлю.
Do i set?;Я установил?
I don't set.;Я не ставлю.
I set.;Я поставил.
Did i set?;Я установил?
I didn't set.;Я не поставил.
I set.;Я поставил.
Will you set?;Будете ли вы установить?
You will not set.;Вы не будете устанавливать.
You will set.;Вы будете устанавливать.
Do you set?;Вы устанавливаете?
You don't set.;Вы не поставили.
You set.;Ты устанавливаешь.
Did you set?;Вы установили?
You didn't set.;Вы не установили.
You set.;Ты устанавливаешь.
Will we set?;Мы будем устанавливать?
We will not set.;Мы не будем устанавливать.
We will set.;Мы будем устанавливать.
Do we set?;Мы устанавливаем?
We don't set.;Мы не устанавливаем.
We set.;Мы устанавливаем.
Did we set?;Мы установили?
We didn't set.;Мы не сидели.
We set.;Мы устанавливаем.
Will they set?;Будут ли они установить?
They will not set.;Они не будут устанавливать.
They will set.;Они будут устанавливать.
Do they set?;Они установлены?
They don't set.;Они не установлены.
They set.;Они установлены.
Did they set?;Они установили?
They didn't set.;Они не сидели.
They set.;Они установлены.
Will he set?;Будет ли он установить?
He will not set.;Он не будет устанавливать.
He will set.;Он установит.
Does he set?;Он установил?
He doesn't set.;Он не садится.
He setes.;Он видит.
Did he set?;Он установил?
He didn't set.;Он не сидел.
He set.;Он установил.
Will she set?;Будет ли она установить?
She will not set.;Она не будет устанавливать.
She will set.;Она установит.
Does she set?;Она установила?
She doesn't set.;Она не садится.
She setes.;Она сидит.
Did she set?;Она поставила?
She didn't set.;Она не сидела.
She set.;Она установлена.
Will i understand?;Я пойму?
I will not understand.;Я не пойму.
I will understand.;Я пойму.
Do i understand?;Я понимаю?
I don't understand.;Я не понимаю
I understand.;Я понимаю.
Did i understand?;Я понял?
I didn't understand.;Я не поняла
I understood.;Я понял.
Will you understand?;Ты поймешь?
You will not understand.;Вы не поймете.
You will understand.;Ты поймешь.
Do you understand?;Вы понимаете?
You don't understand.;Вы не понимаете
You understand.;Вы понимаете.
Did you understand?;Ты понял?
You didn't understand.;Вы не поняли.
You understood.;Вы поняли.
Will we understand?;Будем ли мы понимать?
We will not understand.;Мы не поймем.
We will understand.;Мы поймем.
Do we understand?;Мы понимаем?
We don't understand.;Мы не понимаем.
We understand.;Мы понимаем.
Did we understand?;Мы поняли?
We didn't understand.;Мы не поняли.
We understood.;Мы понимаем.
Will they understand?;Они поймут?
They will not understand.;Они не поймут.
They will understand.;Они поймут.
Do they understand?;Они понимают?
They don't understand.;Они не понимают
They understand.;Они понимают.
Did they understand?;Они поняли?
They didn't understand.;Они не поняли.
They understood.;Они поняли.
Will he understand?;Он поймет?
He will not understand.;Он не поймет.
He will understand.;Он поймет.
Does he understand?;Он понимает?
He doesn't understand.;Он не понимает
He understandes.;Он понимает.
Did he understand?;Он понял?
He didn't understand.;Он не понял.
He understood.;Он понял.
Will she understand?;Она поймет?
She will not understand.;Она не поймет.
She will understand.;Она поймет.
Does she understand?;Она понимает?
She doesn't understand.;Она не понимает
She understandes.;Она понимает.
Did she understand?;Она поняла?
She didn't understand.;Она не поняла.
She understood.;Она поняла.
Will i speak?;Я буду говорить?
I will not speak.;Я не буду говорить.
I will speak.;Я буду говорить.
Do i speak?;Я говорю?
I don't speak.;Я не говорю
I speak.;Я говорю.
Did i speak?;Я говорил?
I didn't speak.;Я не говорил
I spoke.;Я говорил.
Will you speak?;Ты будешь говорить?
You will not speak.;Вы не будете говорить.
You will speak.;Вы будете говорить.
Do you speak?;Вы говорите?
You don't speak.;Ты не говоришь.
You speak.;Ты говоришь.
Did you speak?;Ты говорил?
You didn't speak.;Ты не говорил.
You spoke.;Ты говорил.
Will we speak?;Будем ли мы говорить?
We will not speak.;Мы не будем говорить.
We will speak.;Мы будем говорить.
Do we speak?;Мы говорим?
We don't speak.;Мы не говорим
We speak.;Мы говорим.
Did we speak?;Мы говорили?
We didn't speak.;Мы не говорили.
We spoke.;Мы говорили.
Will they speak?;Будут ли они говорить?
They will not speak.;Они не будут говорить.
They will speak.;Они будут говорить.
Do they speak?;Они говорят?
They don't speak.;Они не говорят.
They speak.;Они говорят.
Did they speak?;Они говорили?
They didn't speak.;Они не говорили.
They spoke.;Они говорили.
Will he speak?;Будет ли он говорить?
He will not speak.;Он не будет говорить.
He will speak.;Он будет говорить.
Does he speak?;Он говорит?
He doesn't speak.;Он не говорит
He speakes.;Он говорит.
Did he speak?;Он говорил?
He didn't speak.;Он не говорил.
He spoke.;Он говорил.
Will she speak?;Будет ли она говорить?
She will not speak.;Она не будет говорить.
She will speak.;Она будет говорить
Does she speak?;Она говорит?
She doesn't speak.;Она не говорит
She speakes.;Она говорит.
Did she speak?;Она говорила?
She didn't speak.;Она не говорила.
She spoke.;Она говорила.
Will i read?;Буду ли я читать?
I will not read.;Я не буду читать.
I will read.;Я прочитаю.
Do i read?;Я читаю?
I don't read.;Я не читаю
I read.;Я читаю.
Did i read?;Я читал?
I didn't read.;Я не читал.
I read.;Я читаю.
Will you read?;Будешь читать?
You will not read.;Вы не будете читать.
You will read.;Вы будете читать.
Do you read?;Вы читаете?
You don't read.;Вы не читаете.
You read.;Ты читаешь.
Did you read?;Вы читали?
You didn't read.;Вы не читали.
You read.;Ты читаешь.
Will we read?;Будем ли мы читать?
We will not read.;Мы не будем читать.
We will read.;Мы будем читать.
Do we read?;Мы читаем?
We don't read.;Мы не читаем.
We read.;Мы читаем.
Did we read?;Мы читали?
We didn't read.;Мы не читали.
We read.;Мы читаем.
Will they read?;Будут ли они читать?
They will not read.;Они не будут читать.
They will read.;Они будут читать.
Do they read?;Они читают?
They don't read.;Они не читают.
They read.;Они читают.
Did they read?;Они читали?
They didn't read.;Они не читали.
They read.;Они читают.
Will he read?;Будет ли он читать?
He will not read.;Он не будет читать.
He will read.;Он будет читать.
Does he read?;Он читает?
He doesn't read.;Он не читает.
He reades.;Он читает.
Did he read?;Он читал?
He didn't read.;Он не читал.
He read.;Он читал.
Will she read?;Будет ли она читать?
She will not read.;Она не будет читать.
She will read.;Она будет читать.
Does she read?;Она читает?
She doesn't read.;Она не читает
She reades.;Она читает.
Did she read?;Она читала?
She didn't read.;Она не читала.
She read.;Она читает.
Will i spend?;Я потрачу?
I will not spend.;Я не буду тратить.
I will spend.;Я потрачу.
Do i spend?;Я трачу?
I don't spend.;Я не трачу.
I spend.;Я потратил.
Did i spend?;Я потратил?
I didn't spend.;Я не тратила
I spent.;Я потратил.
Will you spend?;Вы потратите?
You will not spend.;Вы не будете тратить.
You will spend.;Вы потратите.
Do you spend?;Ты тратишь?
You don't spend.;Вы не тратите.
You spend.;Ты тратишь.
Did you spend?;Ты потратил?
You didn't spend.;Вы не потратили.
You spent.;Ты потратил.
Will we spend?;Будем ли мы тратить?
We will not spend.;Мы не будем тратить.
We will spend.;Мы проведем.
Do we spend?;Мы тратим?
We don't spend.;Мы не тратим.
We spend.;Мы тратим.
Did we spend?;Мы потратили?
We didn't spend.;Мы не тратили.
We spent.;Мы потратили.
Will they spend?;Будут ли они тратить?
They will not spend.;Они не будут тратить.
They will spend.;Они будут тратить.
Do they spend?;Они тратят?
They don't spend.;Они не тратят.
They spend.;Они тратят.
Did they spend?;Они потратили?
They didn't spend.;Они не тратили.
They spent.;Они потратили.
Will he spend?;Он потратит?
He will not spend.;Он не будет тратить.
He will spend.;Он потратит.
Does he spend?;Он тратит?
He doesn't spend.;Он не тратит.
He spendes.;Он тратит.
Did he spend?;Он провел?
He didn't spend.;Он не провел.
He spent.;Он провел.
Will she spend?;Она потратит?
She will not spend.;Она не будет тратить.
She will spend.;Она потратит
Does she spend?;Она тратит?
She doesn't spend.;Она не тратит.
She spendes.;Она тратит.
Did she spend?;Она потратила?
She didn't spend.;Она не тратила.
She spent.;Она провела.
Will i grow?;Я буду расти?
I will not grow.;Я не буду расти.
I will grow.;Я буду расти
Do i grow?;Я расту?
I don't grow.;Я не расту.
I grow.;Я расту
Did i grow?;Я вырос?
I didn't grow.;Я не вырос.
I grew.;Я вырос.
Will you grow?;Вы будете расти?
You will not grow.;Вы не будете расти.
You will grow.;Вы будете расти.
Do you grow?;Вы растете?
You don't grow.;Ты не растешь.
You grow.;Вы растете.
Did you grow?;Вы выросли?
You didn't grow.;Вы не выросли.
You grew.;Вы выросли.
Will we grow?;Будем ли мы расти?
We will not grow.;Мы не будем расти.
We will grow.;Мы будем расти.
Do we grow?;Мы растем?
We don't grow.;Мы не растем.
We grow.;Мы растем.
Did we grow?;Мы выросли?
We didn't grow.;Мы не росли.
We grew.;Мы выросли.
Will they grow?;Будут ли они расти?
They will not grow.;Они не будут расти.
They will grow.;Они будут расти.
Do they grow?;Они растут?
They don't grow.;Они не растут.
They grow.;Они растут.
Did they grow?;Они выросли?
They didn't grow.;Они не росли.
They grew.;Они выросли.
Will he grow?;Будет ли он расти?
He will not grow.;Он не будет расти.
He will grow.;Он будет расти.
Does he grow?;Он растет?
He doesn't grow.;Он не растет.
He growes.;Он растет.
Did he grow?;Он вырос?
He didn't grow.;Он не вырос.
He grew.;Он вырос.
Will she grow?;Будет ли она расти?
She will not grow.;Она не будет расти.
She will grow.;Она будет расти
Does she grow?;Она растет?
She doesn't grow.;Она не растет.
She growes.;Она растет.
Did she grow?;Она выросла?
She didn't grow.;Она не росла.
She grew.;Она выросла.
Will i win?;Я выиграю?
I will not win.;Я не выиграю.
I will win.;Я одержу победу.
Do i win?;Я выиграю?
I don't win.;Я не выигрываю.
I win.;Я выигрываю.
Did i win?;Я выиграл?
I didn't win.;Я не выиграл.
I won.;Я выиграл.
Will you win?;Вы выиграете?
You will not win.;Вы не выиграете.
You will win.;Ты победишь.
Do you win?;Ты выиграл?
You don't win.;Ты не выиграл.
You win.;Ты победил.
Did you win?;Ты выиграл?
You didn't win.;Вы не выиграли.
You won.;Ты выиграл.
Will we win?;Мы победим?
We will not win.;Мы не победим.
We will win.;Мы победим.
Do we win?;Мы победим?
We don't win.;Мы не выигрываем.
We win.;Мы победили.
Did we win?;Мы победили?
We didn't win.;Мы не выиграли.
We won.;Мы выиграли.
Will they win?;Они победят?
They will not win.;Они не победят.
They will win.;Они победят.
Do they win?;Они выигрывают?
They don't win.;Они не побеждают.
They win.;Они побеждают.
Did they win?;Они победили?
They didn't win.;Они не победили.
They won.;Они выиграли.
Will he win?;Он победит?
He will not win.;Он не победит.
He will win.;Он победит.
Does he win?;Он побеждает?
He doesn't win.;Он не побеждает.
He wines.;Он вин.
Did he win?;Он победил?
He didn't win.;Он не победил.
He won.;Он выиграл.
Will she win?;Она победит?
She will not win.;Она не победит.
She will win.;Она победит
Does she win?;Она победит?
She doesn't win.;Она не побеждает.
She wines.;Она вина.
Did she win?;Она победила?
She didn't win.;Она не победила.
She won.;Она выиграла.
Will i teach?;Буду ли я учить?
I will not teach.;Я не буду учить.
I will teach.;Я научу.
Do i teach?;Я учу?
I don't teach.;Я не учу
I teach.;Я учу.
Did i teach?;Я учил?
I didn't teach.;Я не учил.
I taught.;Я научил.
Will you teach?;Будете ли вы учить?
You will not teach.;Вы не будете учить.
You will teach.;Вы будете учить.
Do you teach?;Вы учите?
You don't teach.;Ты не учишь.
You teach.;Ты преподаешь.
Did you teach?;Вы учили?
You didn't teach.;Ты не учил.
You taught.;Вы учили.
Will we teach?;Будем ли мы учить?
We will not teach.;Мы не будем учить.
We will teach.;Мы будем учить.
Do we teach?;Мы учим?
We don't teach.;Мы не учим.
We teach.;Мы учим.
Did we teach?;Мы учили?
We didn't teach.;Мы не учили.
We taught.;Мы учили.
Will they teach?;Будут ли они учить?
They will not teach.;Они не будут учить.
They will teach.;Они будут учить.
Do they teach?;Они преподают?
They don't teach.;Они не учат.
They teach.;Они учат.
Did they teach?;Они учили?
They didn't teach.;Они не учили.
They taught.;Они учили.
Will he teach?;Будет ли он учить?
He will not teach.;Он не будет учить.
He will teach.;Он научит
Does he teach?;Он учит?
He doesn't teach.;Он не учит.
He teaches.;Он учит.
Did he teach?;Он учил?
He didn't teach.;Он не учил.
He taught.;Он учил.
Will she teach?;Будет ли она преподавать?
She will not teach.;Она не будет учить.
She will teach.;Она научит
Does she teach?;Она учит?
She doesn't teach.;Она не учит.
She teaches.;Она преподает.
Did she teach?;Она научила?
She didn't teach.;Она не учила.
She taught.;Она научила.
Will i buy?;Я куплю?
I will not buy.;Я не буду покупать.
I will buy.;Я куплю.
Do i buy?;Я покупаю?
I don't buy.;Я не покупаю.
I buy.;Я покупаю.
Did i buy?;Я купил?
I didn't buy.;Я не покупал.
I bought.;Я купил.
Will you buy?;Будешь покупать?
You will not buy.;Вы не купите.
You will buy.;Вы будете покупать.
Do you buy?;Ты покупаешь?
You don't buy.;Вы не покупаете.
You buy.;Ты покупаешь.
Did you buy?;Ты купил?
You didn't buy.;Вы не купили.
You bought.;Вы купили.
Will we buy?;Будем ли мы покупать?
We will not buy.;Мы не будем покупать.
We will buy.;Мы будем покупать.
Do we buy?;Мы покупаем?
We don't buy.;Мы не покупаем.
We buy.;Мы покупаем.
Did we buy?;Мы купили?
We didn't buy.;Мы не покупали.
We bought.;Мы купили.
Will they buy?;Будут ли они покупать?
They will not buy.;Они не будут покупать.
They will buy.;Они купят.
Do they buy?;Они покупают?
They don't buy.;Они не покупают.
They buy.;Они покупают.
Did they buy?;Они купили?
They didn't buy.;Они не покупали.
They bought.;Они купили.
Will he buy?;Он купит?
He will not buy.;Он не купит.
He will buy.;Он купит.
Does he buy?;Он покупает?
He doesn't buy.;Он не покупает.
He bues.;Он покупает.
Did he buy?;Он купил?
He didn't buy.;Он не купил.
He bought.;Он купил.
Will she buy?;Она купит?
She will not buy.;Она не купит.
She will buy.;Она купит.
Does she buy?;Она покупает?
She doesn't buy.;Она не покупает.
She bues.;Она покупает.
Did she buy?;Она купила?
She didn't buy.;Она не покупала.
She bought.;Она купила.
Will i send?;Я отправлю?
I will not send.;Я не отправлю.
I will send.;Я пошлю.
Do i send?;Я отправляю?
I don't send.;Я не отправляю.
I send.;Я отправляю.
Did i send?;Я отправил?
I didn't send.;Я не отправил.
I sent.;Я отправил.
Will you send?;Вы отправите?
You will not send.;Вы не отправите.
You will send.;Ты отправишь.
Do you send?;Вы отправляете?
You don't send.;Вы не отправляете.
You send.;Вы отправляете.
Did you send?;Ты отправил?
You didn't send.;Вы не отправили.
You sent.;Ты послал.
Will we send?;Мы отправим?
We will not send.;Мы не будем отправлять.
We will send.;Мы отправим.
Do we send?;Мы отправляем?
We don't send.;Мы не отправляем.
We send.;Мы отправляем.
Did we send?;Мы отправили?
We didn't send.;Мы не отправили.
We sent.;Мы отправили.
Will they send?;Они отправят?
They will not send.;Они не отправят.
They will send.;Они отправят.
Do they send?;Они отправляют?
They don't send.;Они не отправляют.
They send.;Они отправляют.
Did they send?;Они отправили?
They didn't send.;Они не отправили.
They sent.;Они послали.
Will he send?;Он отправит?
He will not send.;Он не отправит.
He will send.;Он отправит.
Does he send?;Он отправляет?
He doesn't send.;Он не отправляет.
He sendes.;Он отправляет.
Did he send?;Он отправил?
He didn't send.;Он не отправил.
He sent.;Он послал.
Will she send?;Она отправит?
She will not send.;Она не отправит.
She will send.;Она отправит.
Does she send?;Она отправляет?
She doesn't send.;Она не отправляет.
She sendes.;Она отправляет.
Did she send?;Она отправила?
She didn't send.;Она не отправила.
She sent.;Она отправила.
Will i build?;Буду ли я строить?
I will not build.;Я не буду строить.
I will build.;Я буду строить.
Do i build?;Я строю?
I don't build.;Я не строю.
I build.;Я строю.
Did i build?;Я строил?
I didn't build.;Я не строил.
I built.;Я построил.
Will you build?;Будете ли вы строить?
You will not build.;Вы не будете строить.
You will build.;Вы будете строить.
Do you build?;Ты строишь?
You don't build.;Вы не строите.
You build.;Вы строите.
Did you build?;Вы строили?
You didn't build.;Вы не строили.
You built.;Вы построили.
Will we build?;Будем ли мы строить?
We will not build.;Мы не будем строить.
We will build.;Мы будем строить.
Do we build?;Мы строим?
We don't build.;Мы не строим.
We build.;Мы строим.
Did we build?;Мы строили?
We didn't build.;Мы не строили.
We built.;Мы построили.
Will they build?;Будут ли они строить?
They will not build.;Они не будут строить.
They will build.;Они будут строить.
Do they build?;Они строят?
They don't build.;Они не строят.
They build.;Они строят.
Did they build?;Они строили?
They didn't build.;Они не строили.
They built.;Они построили.
Will he build?;Будет ли он строить?
He will not build.;Он не будет строить.
He will build.;Он будет строить.
Does he build?;Он строит?
He doesn't build.;Он не строит.
He buildes.;Он строит.
Did he build?;Он строил?
He didn't build.;Он не строил.
He built.;Он построил.
Will she build?;Будет ли она строить?
She will not build.;Она не будет строить.
She will build.;Она будет строить.
Does she build?;Она строит?
She doesn't build.;Она не строит.
She buildes.;Она строит.
Did she build?;Она строила?
She didn't build.;Она не строила.
She built.;Она построена.
Will i fall?;Я упаду?
I will not fall.;Я не упаду.
I will fall.;Я упаду
Do i fall?;Я падаю?
I don't fall.;Я не падаю
I fall.;Я упал.
Did i fall?;Я упал?
I didn't fall.;Я не упал.
I fell.;Я упал.
Will you fall?;Ты упадешь?
You will not fall.;Ты не упадешь.
You will fall.;Ты упадешь.
Do you fall?;Ты падаешь?
You don't fall.;Ты не падаешь.
You fall.;Вы падаете.
Did you fall?;Ты упал?
You didn't fall.;Ты не упал.
You fell.;Ты упал.
Will we fall?;Будем ли мы падать?
We will not fall.;Мы не упадем.
We will fall.;Мы упадем.
Do we fall?;Мы падаем?
We don't fall.;Мы не падаем.
We fall.;Мы падаем.
Did we fall?;Мы упали?
We didn't fall.;Мы не упали.
We fell.;Мы упали.
Will they fall?;Будут ли они падать?
They will not fall.;Они не упадут.
They will fall.;Они упадут.
Do they fall?;Они падают?
They don't fall.;Они не падают.
They fall.;Они падают.
Did they fall?;Они упали?
They didn't fall.;Они не упали.
They fell.;Они упали.
Will he fall?;Упадет ли он?
He will not fall.;Он не упадет.
He will fall.;Он упадет
Does he fall?;Он падает?
He doesn't fall.;Он не падает.
He falles.;Он ошибается.
Did he fall?;Он упал?
He didn't fall.;Он не упал.
He fell.;Он упал.
Will she fall?;Она упадет?
She will not fall.;Она не упадет.
She will fall.;Она упадет
Does she fall?;Она падает?
She doesn't fall.;Она не падает.
She falles.;Она ошибается.
Did she fall?;Она упала?
She didn't fall.;Она не упала.
She fell.;Она упала.
Will i cut?;Я порежу?
I will not cut.;Я не буду резать.
I will cut.;Я буду резать.
Do i cut?;Я режу?
I don't cut.;Я не режу.
I cut.;Я режу.
Did i cut?;Я вырезал?
I didn't cut.;Я не резал.
I cut.;Я режу.
Will you cut?;Вы будете резать?
You will not cut.;Вы не будете резать.
You will cut.;Вы будете резать.
Do you cut?;Вы режете?
You don't cut.;Вы не режете.
You cut.;Вы режете.
Did you cut?;Вы порезали?
You didn't cut.;Вы не резали.
You cut.;Вы режете.
Will we cut?;Мы будем резать?
We will not cut.;Мы не будем резать.
We will cut.;Мы будем резать.
